metric,family,grain,n,fallback_pair_count,pearson_r,spearman_rho,icc_a1,mae,rmse,bias,loa_lower,loa_upper,sign_agreement,interpretation,sample
B,measurement,profile_id × opinion_leaf,90,0,0.7528767329647081,0.784256427781379,0.7520554071771175,126.1138888888889,180.27216884785935,-22.408333333333335,-374.96557019875326,330.14890353208654,0.7555555555555555,strong descriptive stability,all_pairs
B,measurement,profile_id × opinion_leaf,90,0,0.7528767329647081,0.784256427781379,0.7520554071771175,126.1138888888889,180.27216884785935,-22.408333333333335,-374.96557019875326,330.14890353208654,0.7555555555555555,strong descriptive stability,excluding_fallback_pairs
P,measurement,profile_id × opinion_leaf × attack_leaf,360,1,0.9975631845364179,0.9916254676069637,0.9975698118954839,16.447222222222223,24.25747307532258,-0.15833333333333333,-47.768138459780474,47.45147179311381,1.0,strong descriptive stability,all_pairs
P,measurement,profile_id × opinion_leaf × attack_leaf,359,0,0.9975622996834932,0.991628889284595,0.9975689641550883,16.47632311977716,24.289170185513452,-0.14206128133704735,-47.81446297868674,47.53034041601264,1.0,strong descriptive stability,excluding_fallback_pairs
BN,measurement,profile_id × opinion_leaf,90,2,0.9743630783035556,0.9698560787392778,0.9743824552311593,40.27777777777778,55.031607079729895,5.588888888888889,-102.3165249663756,113.49430274415337,0.9444444444444444,strong descriptive stability,all_pairs
BN,measurement,profile_id × opinion_leaf,88,0,0.9751512010856287,0.9720084456296669,0.9752091793727364,39.625,54.54262303256718,5.1477272727272725,-101.8885218229911,112.18397636844563,0.9431818181818182,strong descriptive stability,excluding_fallback_pairs
PN,measurement,profile_id × opinion_leaf × attack_leaf,360,0,0.9993532972617075,0.9983685743640637,0.9993505965421917,8.344444444444445,12.579745625409124,0.35,-24.33105954755533,25.031059547555333,1.0,strong descriptive stability,all_pairs
PN,measurement,profile_id × opinion_leaf × attack_leaf,360,0,0.9993532972617075,0.9983685743640637,0.9993505965421917,8.344444444444445,12.579745625409124,0.35,-24.33105954755533,25.031059547555333,1.0,strong descriptive stability,excluding_fallback_pairs
AE_private,delta,profile_id × opinion_leaf × attack_leaf,360,1,0.35047710294308726,0.3691825896530634,0.35106711497688786,16.447222222222223,24.25747307532258,0.15833333333333333,-47.45147179311381,47.768138459780474,0.9194444444444444,weak descriptive stability,all_pairs
AE_private,delta,profile_id × opinion_leaf × attack_leaf,359,0,0.35044872347605427,0.36936219274564086,0.3510432442319928,16.47632311977716,24.289170185513452,0.14206128133704735,-47.53034041601264,47.81446297868674,0.9192200557103064,weak descriptive stability,excluding_fallback_pairs
BN_increment,delta,profile_id × opinion_leaf,90,2,0.5078446869980573,0.4702785689589885,0.5059816586520861,40.27777777777778,55.031607079729895,5.588888888888889,-102.3165249663756,113.49430274415337,0.7222222222222222,moderate descriptive stability,all_pairs
BN_increment,delta,profile_id × opinion_leaf,88,0,0.521753187948394,0.4991281911286843,0.5199237765372242,39.625,54.54262303256718,5.1477272727272725,-101.8885218229911,112.18397636844563,0.7272727272727273,moderate descriptive stability,excluding_fallback_pairs
PN_increment_effectivity,delta,profile_id × opinion_leaf × attack_leaf,360,0,0.28466751564077214,0.3979995321548352,0.28345572817309556,8.344444444444445,12.579745625409124,-0.35,-25.031059547555333,24.33105954755533,0.9331476323119777,weak descriptive stability,all_pairs
PN_increment_effectivity,delta,profile_id × opinion_leaf × attack_leaf,360,0,0.28466751564077214,0.3979995321548352,0.28345572817309556,8.344444444444445,12.579745625409124,-0.35,-25.031059547555333,24.33105954755533,0.9331476323119777,weak descriptive stability,excluding_fallback_pairs
AE_total_network,delta,profile_id × opinion_leaf × attack_leaf,360,0,0.8963828868218173,0.8650745775155443,0.8965654920447913,8.344444444444445,12.579745625409124,-0.35,-25.031059547555333,24.33105954755533,0.9805013927576601,strong descriptive stability,all_pairs
AE_total_network,delta,profile_id × opinion_leaf × attack_leaf,360,0,0.8963828868218173,0.8650745775155443,0.8965654920447913,8.344444444444445,12.579745625409124,-0.35,-25.031059547555333,24.33105954755533,0.9805013927576601,strong descriptive stability,excluding_fallback_pairs
