opinion_label,attack_label,n_profiles,unweighted_susceptibility,sender_reach_weighted_susceptibility,sender_reach_susceptibility_alignment,sender_reach_susceptibility_alignment_z,sender_reach_weighted_susceptibility_percentile,sender_reach_susceptibility_alignment_index,susceptibility_sender_reach_rank_r,vulnerability_hub_sender_reach_mass,resilience_anchor_sender_reach_mass,hub_minus_anchor_sender_reach_mass,top20_sender_reach_susceptibility_gap,centrality_weighted_susceptibility,centrality_susceptibility_excess,centrality_susceptibility_excess_z,centrality_weighted_susceptibility_percentile,centrality_susceptibility_alignment_index,susceptibility_centrality_rank_r,vulnerability_hub_centrality_mass,resilience_anchor_centrality_mass,hub_minus_anchor_centrality_mass,top20_centrality_susceptibility_gap,interpretation
Trade_With_Authoritarian_States_Support,Credentialed_Domain_Persona_Fabrication,100,37.61,42.720798468987006,5.1107984689870065,0.2891298968217217,0.5698680205384576,0.13973604107691528,0.10523852385238541,0.5608525031881776,0.41207390559787677,0.14877859759030082,9.800000000000004,42.720798468987006,5.1107984689870065,0.2891298968217217,0.5698680205384576,0.13973604107691528,0.10523852385238541,0.5608525031881776,0.41207390559787677,0.14877859759030082,9.800000000000004,sender_reach_shifted_to_susceptible
Trust_In_Electoral_Process,Credentialed_Domain_Persona_Fabrication,100,41.66,46.224742411456226,4.56474241145623,0.24453276989677986,0.5804611136051404,0.16092222721028082,0.15255925592559252,0.5819643348966824,0.390962073889372,0.19100226100731044,10.362500000000004,46.224742411456226,4.56474241145623,0.24453276989677986,0.5804611136051404,0.16092222721028082,0.15255925592559252,0.5819643348966824,0.390962073889372,0.19100226100731044,10.362500000000004,sender_reach_shifted_to_susceptible
Trust_In_Mainstream_Journalism,Repost_Bot_Amplification,100,32.96,35.94934906962113,2.9893490696211273,0.19018524431260833,0.5398298817520545,0.07965976350410897,0.0925292529252929,0.5515361003961887,0.4213903083898657,0.13014579200632304,3.7375000000000043,35.94934906962113,2.9893490696211273,0.19018524431260833,0.5398298817520545,0.07965976350410897,0.0925292529252929,0.5515361003961887,0.4213903083898657,0.13014579200632304,3.7375000000000043,sender_reach_shifted_to_susceptible
Trust_In_Mainstream_Journalism,Quote_Context_Stripping,100,19.5,21.399281579847035,1.8992815798470346,0.186105718992799,0.5439161299399818,0.08783225987996368,0.08163216321632208,0.5221040288942911,0.45082237989176316,0.07128164900252792,3.875,21.399281579847035,1.8992815798470346,0.186105718992799,0.5439161299399818,0.08783225987996368,0.08163216321632208,0.5221040288942911,0.45082237989176316,0.07128164900252792,3.875,sender_reach_shifted_to_susceptible
Energy_Sovereignty_Investment_Support,Quote_Context_Stripping,100,19.51,21.276956908925374,1.7669569089253727,0.16093204544474063,0.5619568897527332,0.12391377950546634,0.1777137713771373,0.699933903304453,0.2729925054816015,0.42694139782285156,0.6750000000000007,21.276956908925374,1.7669569089253727,0.16093204544474063,0.5619568897527332,0.12391377950546634,0.1777137713771373,0.699933903304453,0.2729925054816015,0.42694139782285156,0.6750000000000007,sender_reach_shifted_to_susceptible
Trade_With_Authoritarian_States_Support,Quote_Context_Stripping,100,19.24,20.361253564090955,1.1212535640909564,0.13835005301174863,0.5397439047954133,0.07948780959082669,0.09219321932193256,0.5974935070457992,0.375432901740255,0.22206060530554417,3.0749999999999993,20.361253564090955,1.1212535640909564,0.13835005301174863,0.5397439047954133,0.07948780959082669,0.09219321932193256,0.5974935070457992,0.375432901740255,0.22206060530554417,3.0749999999999993,sender_reach_shifted_to_susceptible
Trade_With_Authoritarian_States_Support,Headline_And_Lede_Misframing,100,20.15,21.19092310279145,1.040923102791453,0.13613236372929757,0.5328028123187872,0.06560562463757447,0.11656765676567683,0.5752759369641094,0.39765047182194496,0.17762546514216443,3.0625,21.19092310279145,1.040923102791453,0.13613236372929757,0.5328028123187872,0.06560562463757447,0.11656765676567683,0.5752759369641094,0.39765047182194496,0.17762546514216443,3.0625,sender_reach_shifted_to_susceptible
Trust_In_Electoral_Process,Headline_And_Lede_Misframing,100,20.37,21.474267308407796,1.1042673084077954,0.10490076683460275,0.5482264938941479,0.09645298778829581,0.17998199819982028,0.5759508346428049,0.39697557414324947,0.17897526049955548,0.6000000000000014,21.474267308407796,1.1042673084077954,0.10490076683460275,0.5482264938941479,0.09645298778829581,0.17998199819982028,0.5759508346428049,0.39697557414324947,0.17897526049955548,0.6000000000000014,sender_reach_shifted_to_susceptible
Energy_Sovereignty_Investment_Support,Repost_Bot_Amplification,100,35.25,36.551867523878734,1.3018675238787338,0.10018886944309008,0.5333012713198748,0.06660254263974963,0.1710051005100513,0.5437046856907517,0.4292217230953028,0.11448296259544888,0.875,36.551867523878734,1.3018675238787338,0.10018886944309008,0.5333012713198748,0.06660254263974963,0.1710051005100513,0.5437046856907517,0.4292217230953028,0.11448296259544888,0.875,sender_reach_shifted_to_susceptible
Alliance_Commitment_Support,Petition_Astroturf,100,36.75,38.27272670132355,1.522726701323549,0.08845478460971418,0.5788298530303737,0.15765970606074742,0.18402640264026443,0.6230888529143636,0.34983755587169085,0.2732512970426727,1.4375,38.27272670132355,1.522726701323549,0.08845478460971418,0.5788298530303737,0.15765970606074742,0.18402640264026443,0.6230888529143636,0.34983755587169085,0.2732512970426727,1.4375,sender_reach_shifted_to_susceptible
Trade_With_Authoritarian_States_Support,Petition_Astroturf,100,35.0,36.33275875498274,1.3327587549827413,0.0840593801410731,0.5400350624619387,0.08007012492387733,0.1726372637263725,0.6934650992032201,0.27946130958283427,0.4140037896203858,3.6875,36.33275875498274,1.3327587549827413,0.0840593801410731,0.5400350624619387,0.08007012492387733,0.1726372637263725,0.6934650992032201,0.27946130958283427,0.4140037896203858,3.6875,sender_reach_shifted_to_susceptible
National_Sovereignty_Priority,Repost_Bot_Amplification,100,34.89,36.00388011053944,1.1138801105394407,0.08224204755382658,0.5184704862218554,0.03694097244371086,-0.01126912691269106,0.45869750042638807,0.5142289083596662,-0.0555314079332781,1.6375000000000028,36.00388011053944,1.1138801105394407,0.08224204755382658,0.5184704862218554,0.03694097244371086,-0.01126912691269106,0.45869750042638807,0.5142289083596662,-0.0555314079332781,1.6375000000000028,sender_reach_shifted_to_susceptible
National_Sovereignty_Priority,Credentialed_Domain_Persona_Fabrication,100,36.55,37.375319178008226,0.825319178008229,0.05004347558242422,0.5296748910081397,0.059349782016279384,0.0739633963396335,0.5823029047069911,0.39062350407906327,0.19167940062792782,5.5625,37.375319178008226,0.825319178008229,0.05004347558242422,0.5296748910081397,0.059349782016279384,0.0739633963396335,0.5823029047069911,0.39062350407906327,0.19167940062792782,5.5625,sender_reach_shifted_to_susceptible
