family,trait,column,beta_std,ci_low,ci_high,p_value,n,q_value,significant
Big Five,Big Five Openness To Experience Values,profile_cont_big_five_openness_to_experience_values,0.04100747079004704,0.019253055105563067,0.06276188647453101,0.00022026103190720805,8572,0.0019138756900060128,True
Big Five,Big Five Openness To Experience,profile_cont_personality_big_five_openness_to_experience_mean_pct,0.04035059606597819,0.018848756155878416,0.061852435976077966,0.0002349865054519061,8572,0.0019138756900060128,True
Big Five,Big Five Openness To Experience,profile_cont_big_five_openness_to_experience_mean_pct,0.04035059606597819,0.018848756155878416,0.061852435976077966,0.0002349865054519061,8572,0.0019138756900060128,True
Big Five,Big Five Conscientiousness Self Discipline,profile_cont_big_five_conscientiousness_self_discipline,-0.039335695940978174,-0.05995059121775845,-0.018720800664197897,0.0001841325438964377,8572,0.0019138756900060128,True
Big Five,Big Five Openness To Experience Feelings,profile_cont_big_five_openness_to_experience_feelings,0.03930121865105429,0.01833249397263915,0.06026994332946943,0.0002392344612507516,8572,0.0019138756900060128,True
Big Five,Big Five Openness To Experience Aesthetics,profile_cont_big_five_openness_to_experience_aesthetics,0.03667822274053864,0.015385613117707149,0.05797083236337013,0.0007349589128410367,8572,0.0037050386275888506,True
Big Five,Big Five Openness To Experience Ideas,profile_cont_big_five_openness_to_experience_ideas,0.03651538443560385,0.014897050569422424,0.05813371830178528,0.0009310876495896417,8572,0.0037243505983585667,True
Big Five,Big Five Openness To Experience Fantasy,profile_cont_big_five_openness_to_experience_fantasy,0.036069699451481176,0.014462028317196129,0.05767737058576622,0.0010687680403845864,8572,0.003886429237762132,True
Big Five,Big Five Conscientiousness Achievement Striving,profile_cont_big_five_conscientiousness_achievement_striving,-0.035635876387831084,-0.05634139969274157,-0.014930353082920594,0.0007428480592795904,8572,0.0037050386275888506,True
Big Five,Big Five Conscientiousness,profile_cont_personality_big_five_conscientiousness_mean_pct,-0.03498436084026381,-0.05550525626140657,-0.014463465419121045,0.0008336336912074914,8572,0.0037050386275888506,True
Big Five,Big Five Conscientiousness,profile_cont_big_five_conscientiousness_mean_pct,-0.03498436084026381,-0.05550525626140657,-0.014463465419121045,0.0008336336912074914,8572,0.0037050386275888506,True
Big Five,Big Five Openness To Experience Actions,profile_cont_big_five_openness_to_experience_actions,0.03303593166781274,0.011984715617434267,0.05408714771819122,0.002099417594459773,8572,0.006998058648199244,True
Political Psychology,Dual Process Motivational Hierarchy Preference,profile_cont_political_profile_dual_process_motivational_model_hierarchy_preference,0.031541748253799,0.010355145876727905,0.052728350630870086,0.0035238115465855,8572,0.07744524277339765,False
Big Five,Big Five Conscientiousness Competence,profile_cont_big_five_conscientiousness_competence,-0.03150536075656693,-0.05232388787523395,-0.010686833637899913,0.003016241171241547,8572,0.009280742065358605,True
Big Five,Big Five Neuroticism Impulsiveness,profile_cont_big_five_neuroticism_impulsiveness,0.0312009671334446,0.009934027017319338,0.05246790724956986,0.0040340703856452985,8572,0.010757521028387463,True
Big Five,Big Five Conscientiousness Deliberation,profile_cont_big_five_conscientiousness_deliberation,-0.03049947108455647,-0.051186258431695594,-0.009812683737417345,0.0038565377424642933,8572,0.010757521028387463,True
Big Five,Big Five Conscientiousness Order,profile_cont_big_five_conscientiousness_order,-0.03000094160559527,-0.05078565642910038,-0.009216226782090161,0.004668803573584796,8572,0.011020232051322387,True
Big Five,Big Five Neuroticism,profile_cont_big_five_neuroticism_mean_pct,0.02967352432983017,0.008973987546132316,0.050373061113528024,0.004959104423095074,8572,0.011020232051322387,True
Big Five,Big Five Neuroticism,profile_cont_personality_big_five_neuroticism_mean_pct,0.02967352432983017,0.008973987546132316,0.050373061113528024,0.004959104423095074,8572,0.011020232051322387,True
Political Psychology,Dual Process Motivational Dangerous Worldview,profile_cont_political_profile_dual_process_motivational_model_dangerous_worldview,0.02868289411952238,0.00795479127529973,0.04941099696374503,0.006685110495285307,8572,0.07744524277339765,False
Political Psychology,Dual Process Motivational Threat Sensitivity,profile_cont_political_profile_dual_process_motivational_model_threat_sensitivity,0.028529918040744756,0.00747698966399089,0.04958284641749862,0.007906209787669788,8572,0.07744524277339765,False
Big Five,Big Five Neuroticism Anger Hostility,profile_cont_big_five_neuroticism_anger_hostility,0.028279637563338574,0.00753283769602775,0.0490264374306494,0.007549143659054153,8572,0.015892934019061375,True
Political Psychology,Dual Process Motivational Competitive Jungle Worldview,profile_cont_political_profile_dual_process_motivational_model_competitive_jungle_worldview,0.027746159763877593,0.0072442821981233,0.048248037329631885,0.007989531582724013,8572,0.07744524277339765,False
Political Psychology,Dual Process Motivational,profile_cont_demographics_and_identity_political_profile_dual_process_motivational_model_mean_pct,0.027691136150581337,0.006911405709134438,0.04847086659202823,0.009005260787604377,8572,0.07744524277339765,False
Big Five,Big Five Conscientiousness Dutifulness,profile_cont_big_five_conscientiousness_dutifulness,-0.02671049918618691,-0.04750603984506617,-0.005914958527307647,0.011820964062484058,8572,0.023641928124968115,True
Ideology,Socio Cultural Liberal Conservative Cultural Openness,profile_cont_ideological_dimensions_two_axis_model_socio_cultural_liberal_conservative_cultural_openness,-0.026610815482528027,-0.047725327942667525,-0.005496303022388533,0.01350523488044682,8572,0.2644353171809833,False
