domain,family,moderator,beta_std,ci_low,ci_high,p_value,n,q_value,significant
Critical_Infrastructure_And_Energy_Sovereignty,Big Five,Openness,0.008019034232748157,-0.04511870653807313,0.06115677500356944,0.7673989985117795,1429,0.8076971602099108,False
Critical_Infrastructure_And_Energy_Sovereignty,Big Five,Conscientiousness,-0.04150976375830779,-0.0938785616664827,0.010859034149867122,0.12029135633500578,1429,0.6014567816750288,False
Critical_Infrastructure_And_Energy_Sovereignty,Big Five,Extraversion,-0.030150189751874737,-0.08513670791629535,0.02483632841254587,0.28251496906490825,1429,0.7062874226622706,False
Critical_Infrastructure_And_Energy_Sovereignty,Big Five,Agreeableness,-0.006227277306793365,-0.05637248636344482,0.04391793174985809,0.8076971602099108,1429,0.8076971602099108,False
Critical_Infrastructure_And_Energy_Sovereignty,Big Five,Neuroticism,0.017159020715216154,-0.03540618539318865,0.06972422682362095,0.5223045654344771,1429,0.8076971602099108,False
Critical_Infrastructure_And_Energy_Sovereignty,Political Psychology,Right-wing authoritarianism,-0.013088652747108763,-0.0593158054586509,0.033138499964433375,0.5789358212382594,1429,0.8942408573366915,False
Critical_Infrastructure_And_Energy_Sovereignty,Political Psychology,Social dominance orientation,-0.028564990633274726,-0.07963257193201118,0.02250259066546172,0.27293925567190946,1429,0.7278380151250919,False
Critical_Infrastructure_And_Energy_Sovereignty,Political Psychology,System justification,0.004185948248960374,-0.05389491109994556,0.06226680759786631,0.8876671918816624,1429,0.8942408573366915,False
Critical_Infrastructure_And_Energy_Sovereignty,Political Psychology,Populist attitudes,0.03160047766994472,-0.02315671037221951,0.08635766571210896,0.25801344444903596,1429,0.7278380151250919,False
Critical_Infrastructure_And_Energy_Sovereignty,Political Psychology,Collective narcissism,0.007662855871003069,-0.04607047107674144,0.061396182818747584,0.7798546170818358,1429,0.8942408573366915,False
Critical_Infrastructure_And_Energy_Sovereignty,Political Psychology,Nationalism,0.0576391952395015,0.0020310972694390986,0.11324729320956389,0.04219902270215934,1429,0.3375921816172747,False
Critical_Infrastructure_And_Energy_Sovereignty,Political Psychology,Political trust,-0.0035700796718040853,-0.05620457079946281,0.049064411455854634,0.8942408573366915,1429,0.8942408573366915,False
Critical_Infrastructure_And_Energy_Sovereignty,Political Psychology,Political efficacy,0.009189987925639425,-0.03920944651997845,0.0575894223712573,0.7097781586210923,1429,0.8942408573366915,False
Critical_Infrastructure_And_Energy_Sovereignty,Ideology,Economic left-right,0.015049883400063638,-0.04202027405669642,0.07212004085682369,0.6052545300673082,1429,0.6712602495517543,False
Critical_Infrastructure_And_Energy_Sovereignty,Ideology,Socio-cultural lib-cons,-0.035901287021618766,-0.0884645655475357,0.01666199150429818,0.1806759860469226,1429,0.3613519720938452,False
Critical_Infrastructure_And_Energy_Sovereignty,Ideology,GAL-TAN (traditional),-0.010777423813237546,-0.06054748914686589,0.038992641520390794,0.6712602495517543,1429,0.6712602495517543,False
Critical_Infrastructure_And_Energy_Sovereignty,Ideology,Authoritarianism,0.04114669287201734,-0.005424910669909945,0.08771829641394463,0.08333467836977329,1429,0.33333871347909316,False
Critical_Infrastructure_And_Energy_Sovereignty,Moral Foundations,MFT care,0.04527178681931661,-0.0011936556010688423,0.09173722923970207,0.056182897038105264,1429,0.2809144851905263,False
Critical_Infrastructure_And_Energy_Sovereignty,Moral Foundations,MFT fairness,0.013994186319324154,-0.03943805097107179,0.0674264236097201,0.6077240255968108,1429,0.9036762917883031,False
Critical_Infrastructure_And_Energy_Sovereignty,Moral Foundations,MFT loyalty,0.0029459242401877785,-0.044764962751275714,0.05065681123165128,0.9036762917883031,1429,0.9036762917883031,False
Critical_Infrastructure_And_Energy_Sovereignty,Moral Foundations,MFT authority,0.006611646568055744,-0.04171005205493725,0.05493334519104874,0.7885659296603337,1429,0.9036762917883031,False
Critical_Infrastructure_And_Energy_Sovereignty,Moral Foundations,MFT sanctity,0.018740354821889658,-0.02926849903719393,0.06674920868097324,0.44422630715189537,1429,0.9036762917883031,False
Critical_Infrastructure_And_Energy_Sovereignty,Demographics,Age,0.028933415508070957,-0.02352575037351424,0.08139258138965616,0.27969631633001835,1429,0.350217766600195,False
Critical_Infrastructure_And_Energy_Sovereignty,Demographics,Sex (female),-0.06155686579911167,-0.11283179689111977,-0.010281934707103556,0.018623291335756322,1429,0.07449316534302529,False
Critical_Infrastructure_And_Energy_Sovereignty,Demographics,Gender diverse,-0.02509165963707992,-0.0777361550525432,0.02755283577838335,0.350217766600195,1429,0.350217766600195,False
Critical_Infrastructure_And_Energy_Sovereignty,Demographics,Citizen,-0.046468495567212414,-0.09998573179578069,0.007048740661355857,0.08878955490857014,1429,0.17757910981714028,False
Defense_And_National_Security,Big Five,Openness,0.005648818699009808,-0.044016322576379795,0.05531395997439941,0.8235957657575449,1429,0.8235957657575449,False
Defense_And_National_Security,Big Five,Conscientiousness,-0.05644755613358363,-0.10713063298767274,-0.005764479279494528,0.0290444996622383,1429,0.1452224983111915,False
Defense_And_National_Security,Big Five,Extraversion,-0.015586528134747733,-0.06754222661952683,0.03636917035003137,0.556544138604383,1429,0.6956801732554787,False
Defense_And_National_Security,Big Five,Agreeableness,-0.019510645655895942,-0.07061391093922684,0.03159261962743495,0.45428406993641035,1429,0.6956801732554787,False
Defense_And_National_Security,Big Five,Neuroticism,0.03700705693975196,-0.012843551476688336,0.08685766535619226,0.14567001938126076,1429,0.36417504845315185,False
Defense_And_National_Security,Political Psychology,Right-wing authoritarianism,0.009977359439566876,-0.03929092880056889,0.05924564767970264,0.691431002604886,1429,0.9376764359521625,False
Defense_And_National_Security,Political Psychology,Social dominance orientation,-0.0020797661757710893,-0.05398477957324768,0.049825247221705504,0.9374039219435765,1429,0.9376764359521625,False
Defense_And_National_Security,Political Psychology,System justification,0.01294257190268944,-0.03494386108373802,0.0608290048891169,0.596297774133283,1429,0.9376764359521625,False
Defense_And_National_Security,Political Psychology,Populist attitudes,0.002101043777989977,-0.05056474874906825,0.0547668363050482,0.9376764359521625,1429,0.9376764359521625,False
Defense_And_National_Security,Political Psychology,Collective narcissism,-0.031810014576701504,-0.08394666356554606,0.020326634412143045,0.23176355036593466,1429,0.618036134309159,False
Defense_And_National_Security,Political Psychology,Nationalism,0.035818213809715706,-0.01635370797025277,0.08799013558968419,0.17843234883312353,1429,0.618036134309159,False
Defense_And_National_Security,Political Psychology,Political trust,0.032153790944146755,-0.019588465146087516,0.08389604703438103,0.22323716122511683,1429,0.618036134309159,False
Defense_And_National_Security,Political Psychology,Political efficacy,-0.003546535231288989,-0.05432889545284761,0.047235824990269626,0.8911257744740696,1429,0.9376764359521625,False
Defense_And_National_Security,Ideology,Economic left-right,-0.03625329621842273,-0.08548493727936152,0.012978344842516053,0.1489409708341772,1429,0.2978819416683544,False
Defense_And_National_Security,Ideology,Socio-cultural lib-cons,-0.014874808580514933,-0.07173098764105817,0.04198137048002831,0.6081128798819527,1429,0.6240172977428375,False
Defense_And_National_Security,Ideology,GAL-TAN (traditional),0.013256939251967158,-0.03975201668475973,0.06626589518869405,0.6240172977428375,1429,0.6240172977428375,False
Defense_And_National_Security,Ideology,Authoritarianism,-0.04052595722568971,-0.0939755552235044,0.012923640772124982,0.13726272184686597,1429,0.2978819416683544,False
Defense_And_National_Security,Moral Foundations,MFT care,0.023177854145638103,-0.03128640030780018,0.07764210859907639,0.40423369042668833,1429,0.5509005642290157,False
Defense_And_National_Security,Moral Foundations,MFT fairness,-0.021142100888103893,-0.06697719732510445,0.02469299554889666,0.365962672984806,1429,0.5509005642290157,False
Defense_And_National_Security,Moral Foundations,MFT loyalty,-0.03472259218207252,-0.0872708634160921,0.017825679051947055,0.1952872836781141,1429,0.5509005642290157,False
Defense_And_National_Security,Moral Foundations,MFT authority,0.015243407832878685,-0.03485043792030369,0.06533725358606106,0.5509005642290157,1429,0.5509005642290157,False
Defense_And_National_Security,Moral Foundations,MFT sanctity,0.017431776353159106,-0.033264832365641955,0.06812838507196016,0.5003597269116841,1429,0.5509005642290157,False
Defense_And_National_Security,Demographics,Age,0.012281744822469003,-0.04043654237318507,0.06500003201812309,0.6479502937998711,1429,0.9583356173974605,False
Defense_And_National_Security,Demographics,Sex (female),0.017874161841486175,-0.03507645319671995,0.07082477687969231,0.5082205064288956,1429,0.9583356173974605,False
Defense_And_National_Security,Demographics,Gender diverse,0.001393441547122106,-0.05088401416629466,0.05367089726053887,0.9583356173974605,1429,0.9583356173974605,False
Defense_And_National_Security,Demographics,Citizen,-0.006312712428928316,-0.05945495486681425,0.04682953000895762,0.8158995434949178,1429,0.9583356173974605,False
Democratic_Resilience_And_Institutions,Big Five,Openness,0.029357227562105934,-0.02578116292841778,0.08449561805262965,0.29669832640075333,1429,0.49449721066792224,False
Democratic_Resilience_And_Institutions,Big Five,Conscientiousness,-0.04737514939031714,-0.09862748493329832,0.003877186152664039,0.07003337728312262,1429,0.32790974605810297,False
Democratic_Resilience_And_Institutions,Big Five,Extraversion,0.022502085746989746,-0.03463195542977893,0.07963612692375842,0.4401579899629028,1429,0.5501974874536284,False
Democratic_Resilience_And_Institutions,Big Five,Agreeableness,-0.006698100922105082,-0.057777782584689755,0.0443815807404796,0.7971703342363139,1429,0.7971703342363139,False
Democratic_Resilience_And_Institutions,Big Five,Neuroticism,0.036872680526990796,-0.011002631846626663,0.08474799290060825,0.1311638984232412,1429,0.32790974605810297,False
Democratic_Resilience_And_Institutions,Political Psychology,Right-wing authoritarianism,-0.012552244274951696,-0.06378831723403121,0.03868382868412782,0.6311076055444413,1429,0.8414768073925885,False
Democratic_Resilience_And_Institutions,Political Psychology,Social dominance orientation,0.03359193274593432,-0.01607629251658673,0.08326015800845538,0.18498037382491606,1429,0.3699607476498321,False
Democratic_Resilience_And_Institutions,Political Psychology,System justification,-0.027856391965481453,-0.08127011255840771,0.02555732862744481,0.30670379398573655,1429,0.49072607037717847,False
Democratic_Resilience_And_Institutions,Political Psychology,Populist attitudes,0.05828030672048479,0.004710028434027631,0.11185058500694195,0.032983115621262986,1429,0.13193246248505194,False
Democratic_Resilience_And_Institutions,Political Psychology,Collective narcissism,0.036668487944010536,-0.013736443993070419,0.08707341988109149,0.15391712328385462,1429,0.3699607476498321,False
Democratic_Resilience_And_Institutions,Political Psychology,Nationalism,0.001608859012209414,-0.051740597113376356,0.05495831513779518,0.9528671904976522,1429,0.9628297823560428,False
Democratic_Resilience_And_Institutions,Political Psychology,Political trust,-0.08311937389796728,-0.13693191046243738,-0.029306837333497184,0.002466839046329889,1429,0.01973471237063911,True
Democratic_Resilience_And_Institutions,Political Psychology,Political efficacy,-0.0010865880001868762,-0.04678496477118113,0.044611788770807376,0.9628297823560428,1429,0.9628297823560428,False
Democratic_Resilience_And_Institutions,Ideology,Economic left-right,0.021706771731158116,-0.025500697333467413,0.06891424079578365,0.3674693824258476,1429,0.9412467347206495,False
Democratic_Resilience_And_Institutions,Ideology,Socio-cultural lib-cons,-0.010678316051455713,-0.06654189776238721,0.04518526565947579,0.7079231258438992,1429,0.9412467347206495,False
Democratic_Resilience_And_Institutions,Ideology,GAL-TAN (traditional),-0.00197943459260639,-0.054618025135915016,0.05065915595070224,0.9412467347206495,1429,0.9412467347206495,False
Democratic_Resilience_And_Institutions,Ideology,Authoritarianism,0.016337877952281074,-0.03453365267325342,0.06720940857781557,0.5290471926924583,1429,0.9412467347206495,False
Democratic_Resilience_And_Institutions,Moral Foundations,MFT care,-0.02447735001423496,-0.07467186360027485,0.025717163571804928,0.33918528474929177,1429,0.5653088079154863,False
Democratic_Resilience_And_Institutions,Moral Foundations,MFT fairness,-0.017245508728772545,-0.07186974155128388,0.0373787240937388,0.5360589689075717,1429,0.6276253264077568,False
Democratic_Resilience_And_Institutions,Moral Foundations,MFT loyalty,0.057925609073821105,0.0063684947923806565,0.10948272335526155,0.02766073008680208,1429,0.124932054981866,False
Democratic_Resilience_And_Institutions,Moral Foundations,MFT authority,0.05314075505689434,6.304734646377097e-06,0.10627520537914231,0.049972821992746407,1429,0.124932054981866,False
Democratic_Resilience_And_Institutions,Moral Foundations,MFT sanctity,-0.011670589532601186,-0.058826349310836495,0.03548517024563412,0.6276253264077568,1429,0.6276253264077568,False
Democratic_Resilience_And_Institutions,Demographics,Age,-0.03460956697698369,-0.08652771931658658,0.0173085853626192,0.19136661584615344,1429,0.29002961892074897,False
Democratic_Resilience_And_Institutions,Demographics,Sex (female),-0.03258028849191261,-0.08436354793015102,0.019202970946325816,0.21752221419056172,1429,0.29002961892074897,False
Democratic_Resilience_And_Institutions,Demographics,Gender diverse,0.0355292313274871,-0.019766385381890288,0.0908248480368645,0.2079073432047578,1429,0.29002961892074897,False
Democratic_Resilience_And_Institutions,Demographics,Citizen,0.009303337243730201,-0.041322167779800134,0.05992884226726054,0.7187138368053017,1429,0.7187138368053017,False
Foreign_Policy_And_Geopolitics,Big Five,Openness,0.05791293457605426,0.008884250770855862,0.10694161838125266,0.02060638859192313,1429,0.05151597147980782,False
Foreign_Policy_And_Geopolitics,Big Five,Conscientiousness,-0.010541734135732535,-0.05485637130013821,0.03377290302867314,0.6410410912494855,1429,0.8013013640618568,False
Foreign_Policy_And_Geopolitics,Big Five,Extraversion,-0.0011343874532114037,-0.048743267119610974,0.04647449221318816,0.9627519307023877,1429,0.9627519307023877,False
Foreign_Policy_And_Geopolitics,Big Five,Agreeableness,0.06788852579622695,0.01935619316083098,0.11642085843162292,0.0061129924185144915,1429,0.030564962092572458,True
Foreign_Policy_And_Geopolitics,Big Five,Neuroticism,0.03043327206651063,-0.02144862816049758,0.08231517229351884,0.25027145293584474,1429,0.4171190882264079,False
Foreign_Policy_And_Geopolitics,Political Psychology,Right-wing authoritarianism,0.024259467929228524,-0.020717437211623172,0.06923637307008022,0.29043960272189384,1429,0.636096271924971,False
Foreign_Policy_And_Geopolitics,Political Psychology,Social dominance orientation,0.01346406212665751,-0.034860107560474266,0.061788231813789285,0.5850078991962591,1429,0.6685804562242961,False
Foreign_Policy_And_Geopolitics,Political Psychology,System justification,0.020294681490376765,-0.0311736320920989,0.07176299507285243,0.4396162341010952,1429,0.6685804562242961,False
Foreign_Policy_And_Geopolitics,Political Psychology,Populist attitudes,0.03500541667983718,-0.01933992601904202,0.08935075937871637,0.20677977320226315,1429,0.636096271924971,False
Foreign_Policy_And_Geopolitics,Political Psychology,Collective narcissism,0.0013167535109972553,-0.05100507607671319,0.0536385830987077,0.9606600649241528,1429,0.9606600649241528,False
Foreign_Policy_And_Geopolitics,Political Psychology,Nationalism,0.01833098461380041,-0.037233288204598744,0.07389525743219956,0.5178884015653932,1429,0.6685804562242961,False
Foreign_Policy_And_Geopolitics,Political Psychology,Political trust,-0.06549553696884955,-0.12132032080582336,-0.00967075313187573,0.021476763354801184,1429,0.17181410683840947,False
Foreign_Policy_And_Geopolitics,Political Psychology,Political efficacy,-0.029993910615039105,-0.08887056724128443,0.02888274601120622,0.3180481359624855,1429,0.636096271924971,False
Foreign_Policy_And_Geopolitics,Ideology,Economic left-right,0.013155845304192362,-0.0413508139774965,0.06766250458588122,0.6361695521215744,1429,0.7623713068990554,False
