term,estimate,ci_low,ci_high,n_bootstrap
profile_cat__profile_cat_sex_Female,-0.3451285242716169,-1.1703010269294087,0.4948924045958474,400
profile_cat__profile_cat_sex_Male,0.575706436831804,-0.3144297713545089,1.3287198538588634,400
profile_cat__profile_cat_sex_Other,-0.23057791253902424,-0.9879607119133993,0.5194876987253926,400
profile_cont_big_five_agreeableness_altruism_pct,0.04614256878107988,-0.03179285374087164,0.12639148819910678,400
profile_cont_big_five_agreeableness_compliance_pct,0.08656310741250178,0.024761783042959926,0.176839273704941,400
profile_cont_big_five_agreeableness_mean_pct,-0.19115030976109873,-0.45322269545838995,-0.0241442365698524,400
profile_cont_big_five_agreeableness_modesty_pct,0.059502391008843775,0.0069455738251252746,0.15064579217530458,400
profile_cont_big_five_agreeableness_straightforwardness_pct,-0.017911975298066596,-0.07907393516045175,0.05864089628187893,400
profile_cont_big_five_agreeableness_tender_mindedness_pct,-0.021807404275609676,-0.0934161095333014,0.06527382560117168,400
profile_cont_big_five_agreeableness_trust_pct,0.04079249151830981,-0.013825263894599553,0.11649608156134295,400
profile_cont_big_five_conscientiousness_achievement_striving_pct,-0.044340576604260926,-0.1274768677178075,0.0307534688151207,400
profile_cont_big_five_conscientiousness_competence_pct,-0.05775845745590059,-0.14116409660258514,0.008753203010419788,400
profile_cont_big_five_conscientiousness_deliberation_pct,0.018204131315141425,-0.07175028390220987,0.08920899746870571,400
profile_cont_big_five_conscientiousness_dutifulness_pct,0.02838349588053394,-0.04577474828973322,0.08837331464977935,400
profile_cont_big_five_conscientiousness_mean_pct,0.06727883435115144,-0.1135946737191347,0.31033269097047095,400
profile_cont_big_five_conscientiousness_order_pct,-0.02533227767995397,-0.11491685932616957,0.0523194941158145,400
profile_cont_big_five_conscientiousness_self_discipline_pct,-0.009575647711605854,-0.0978662133098166,0.05832051687176122,400
profile_cont_big_five_extraversion_activity_level_pct,-0.05750594668167792,-0.13593529436792146,0.0056583240461333525,400
profile_cont_big_five_extraversion_assertiveness_pct,-0.037843914419573535,-0.12434408655400947,0.027951492796697862,400
profile_cont_big_five_extraversion_excitement_seeking_pct,-0.0249237403992212,-0.09530382816278496,0.03824158012393451,400
profile_cont_big_five_extraversion_gregariousness_pct,-0.012216499937952234,-0.11746853495574154,0.0503007138259703,400
profile_cont_big_five_extraversion_mean_pct,0.22204940072303778,0.04529376198440334,0.5260170718113573,400
profile_cont_big_five_extraversion_positive_emotions_pct,-0.07421377913418035,-0.19333781668275568,-6.26881993071887e-05,400
profile_cont_big_five_extraversion_warmth_pct,-0.006550024006911444,-0.08732224566329602,0.06091900206899312,400
profile_cont_big_five_neuroticism_anger_hostility_pct,-0.0028961862176288657,-0.07227694809113258,0.07638432952570191,400
profile_cont_big_five_neuroticism_anxiety_pct,0.016266895846641538,-0.06425953042250833,0.09321136138233993,400
profile_cont_big_five_neuroticism_depression_pct,0.055734303497219376,-0.026983498920460276,0.13096410431400587,400
profile_cont_big_five_neuroticism_impulsiveness_pct,0.0039567347858140926,-0.08119035065976156,0.0864433956627401,400
profile_cont_big_five_neuroticism_mean_pct,0.013410945046124443,-0.2278300479261832,0.24848880118126906,400
profile_cont_big_five_neuroticism_self_consciousness_pct,-0.05104563157950494,-0.11880592417009027,0.06262102147499819,400
profile_cont_big_five_neuroticism_stress_vulnerability_pct,0.014909328752951525,-0.040884914906671656,0.08773425345243016,400
profile_cont_big_five_openness_to_experience_actions_pct,-0.02366940737844639,-0.10336659412892038,0.05110277125304375,400
profile_cont_big_five_openness_to_experience_aesthetics_pct,0.01917048849613985,-0.055058434305135094,0.10818076228515856,400
profile_cont_big_five_openness_to_experience_fantasy_pct,0.013451848754461367,-0.0622720909844834,0.09262148300476557,400
profile_cont_big_five_openness_to_experience_feelings_pct,0.039457006054946606,-0.05762789685777997,0.11684622976107907,400
profile_cont_big_five_openness_to_experience_ideas_pct,-0.0007334242183818878,-0.07652438606311042,0.07586207598043304,400
profile_cont_big_five_openness_to_experience_mean_pct,-0.0013381617582006987,-0.22058744951444723,0.22625942583395245,400
profile_cont_big_five_openness_to_experience_values_pct,-0.00651156451320717,-0.07481423236044436,0.06616300135798601,400
profile_cont_chronological_age,-0.02946397513252081,-0.07709874239662656,0.010182998436930728,400
