profile_id,ontology_group,group_contribution,n_features_in_group
profile_0076,demographics,0.006874031900974211,4
profile_0775,demographics,-0.003588699283056933,4
profile_0390,demographics,0.020619182017522282,4
profile_0747,demographics,0.03592860730201876,4
profile_0424,demographics,0.021541844780107716,4
profile_0397,demographics,1.456842700179109e-06,4
profile_0165,demographics,0.015310882127196656,4
profile_0148,demographics,0.013746606959248245,4
profile_0641,demographics,-0.018898124567553413,4
profile_0272,demographics,-0.04890204956720112,4
profile_0001,demographics,-0.010307405744710871,4
profile_0052,demographics,0.02046531342090218,4
profile_0535,demographics,0.009514838428128156,4
profile_0753,demographics,0.054828188712272345,4
profile_0066,demographics,0.01123298219269667,4
profile_0754,demographics,0.015310882127196656,4
profile_0307,demographics,-0.009384742982125433,4
profile_0427,demographics,0.010156450833491131,4
profile_0219,demographics,-0.054056480860906655,4
profile_0172,demographics,0.02405546954665929,4
profile_0445,demographics,0.020619182017522282,4
profile_0657,demographics,-0.015461837038416398,4
profile_0297,demographics,-0.02061626833212192,4
profile_0287,demographics,-0.01282103051126245,4
profile_0794,demographics,0.030928044604933327,4
profile_0217,demographics,-0.009384742982125433,4
profile_0610,demographics,-0.015461837038416398,4
profile_0253,demographics,-0.04890204956720112,4
profile_0360,demographics,0.025619744714607706,4
profile_0345,demographics,-0.030002468156947536,4
profile_0355,demographics,-0.06356986244633463,4
profile_0372,demographics,0.0032838757752170974,4
profile_0364,demographics,0.0668551950642519,4
profile_0391,demographics,0.021541844780107716,4
profile_0204,demographics,-0.04031133074435858,4
profile_0325,demographics,-0.017975461804967976,4
profile_0176,demographics,0.018901038252953768,4
profile_0785,demographics,0.0668551950642519,4
profile_0778,demographics,-0.03515689945065306,4
profile_0542,demographics,0.013746606959248245,4
profile_0063,demographics,0.03764675106658726,4
profile_0433,demographics,-0.025924568222447545,4
profile_0663,demographics,0.0668551950642519,4
profile_0608,demographics,0.027491757075796312,4
profile_0503,demographics,-0.0017166869218683293,4
profile_0280,demographics,0.0034377443718371942,4
profile_0694,demographics,0.030774176008313232,4
profile_0717,demographics,0.025619744714607706,4
profile_0521,demographics,0.030928044604933327,4
profile_0673,demographics,-0.009384742982125433,4
profile_0248,demographics,-0.039515849742375514,4
profile_0613,demographics,0.047955613653998315,4
profile_0688,demographics,0.01123298219269667,4
profile_0293,demographics,-0.024052555861258935,4
profile_0749,demographics,-0.016257318040399468,4
profile_0143,demographics,-0.036233430809858594,4
profile_0475,demographics,0.0009241196052856178,4
profile_0711,demographics,0.0015657320106485899,4
profile_0726,demographics,0.005002019539785605,4
profile_0144,demographics,-0.0034348306864368386,4
profile_0486,demographics,0.02905603224374472,4
profile_0393,demographics,0.032492319772881736,4
profile_0509,demographics,-0.027488843390395954,4
profile_0111,demographics,-0.010307405744710871,4
profile_0186,demographics,0.018747169656333672,4
profile_0019,demographics,-0.03172061192151604,4
profile_0368,demographics,-0.05154285609435507,4
profile_0167,demographics,0.030928044604933327,4
profile_0416,demographics,-0.015461837038416398,4
profile_0005,demographics,-0.06013357491719761,4
profile_0295,demographics,-0.026566180627810517,4
profile_0649,demographics,-0.03436141844866999,4
profile_0718,demographics,-0.005306843047625447,4
profile_0585,demographics,0.010156450833491131,4
profile_0458,demographics,0.0668551950642519,4
profile_0395,demographics,-0.02484803686324201,4
profile_0269,demographics,-0.008589261980142364,4
profile_0560,demographics,-0.022334412096690428,4
profile_0645,demographics,0.05654633247684086,4
profile_0669,demographics,-0.04031133074435858,4
profile_0096,demographics,0.017182894488385263,4
profile_0596,demographics,0.004360407134422633,4
profile_0533,demographics,-0.015461837038416398,4
profile_0472,demographics,0.013746606959248245,4
profile_0633,demographics,-0.01282103051126245,4
profile_0519,demographics,-0.004230311688419908,4
profile_0745,demographics,-0.03279714328072157,4
profile_0308,demographics,-0.02484803686324201,4
profile_0790,demographics,0.015310882127196656,4
