profile_id,rank_ci_low,rank_ci_high,rank_sd,n_bootstrap_samples
profile_0390,97.0,100.0,0.9928949034873602,600
profile_0775,97.0,100.0,0.9212509943259037,600
profile_0076,98.0,100.0,0.9062925387709766,600
profile_0747,91.0,97.0,1.9684482559746492,600
profile_0272,73.0,97.0,7.383357294725028,600
profile_0424,89.95,97.0,2.6003076527025404,600
profile_0397,87.0,97.0,3.331405675230041,600
profile_0165,81.0,97.0,5.137733174298155,600
profile_0641,75.95,95.0,5.988748260845098,600
profile_0148,86.0,95.0,2.7203304121879537,600
profile_0001,73.0,95.0,7.629124225600098,600
profile_0052,73.95,95.0,6.772459697228498,600
profile_0753,58.95,94.0,11.796799198982923,600
profile_0445,59.0,93.0,11.133699039975145,600
profile_0307,62.0,92.0,9.210465606219978,600
profile_0172,65.0,91.04999999999995,8.21804260530815,600
profile_0535,76.0,91.0,4.930731935313331,600
profile_0066,66.0,91.0,7.785517818470721,600
profile_0427,66.0,91.0,8.165932871079734,600
profile_0345,53.0,90.0,11.607722828832848,600
profile_0360,51.0,90.0,12.08828576575649,600
profile_0217,56.99999999999999,90.0,9.871661717461532,600
profile_0754,70.95,90.0,5.979009610842271,600
profile_0219,67.95,89.0,6.80393597830577,600
profile_0287,56.99999999999999,89.0,9.703543346531664,600
profile_0297,60.95,89.0,8.792066382503384,600
profile_0372,51.0,89.0,11.898481265580871,600
profile_0794,58.900000000000006,88.0,8.84790405873673,600
profile_0364,54.0,88.0,10.579530929111284,600
profile_0610,62.0,87.0,7.340058445648198,600
profile_0657,69.0,86.0,5.360645149256692,600
profile_0253,64.0,86.0,6.89188933198102,600
profile_0355,56.00000000000001,85.0,8.503087756292274,600
profile_0204,43.900000000000006,84.0,12.477758844291463,600
profile_0325,44.0,84.0,11.560134806745944,600
profile_0176,42.95,83.0,12.177309971016465,600
profile_0785,41.0,83.0,12.416317104504927,600
profile_0391,59.0,79.0,6.087956446089482,600
profile_0542,39.0,76.0,11.24207641572031,600
profile_0503,35.95,75.04999999999995,11.897499070822983,600
profile_0433,37.0,74.04999999999995,11.263668997609159,600
profile_0063,39.95,74.0,10.2995485905264,600
profile_0608,37.0,73.0,10.710569257655655,600
profile_0280,32.0,71.0,11.765104902968439,600
profile_0778,50.0,69.0,5.533864983745033,600
profile_0663,41.0,68.04999999999995,8.392034375355644,600
profile_0673,31.0,68.0,11.265856814811821,600
profile_0521,34.0,68.0,9.939816672421973,600
profile_0293,25.0,68.0,12.422228178613363,600
profile_0717,32.0,67.0,10.585831712959157,600
profile_0613,28.000000000000004,66.0,11.668214103592666,600
profile_0694,41.95,65.0,7.192300766597246,600
profile_0248,26.0,64.04999999999995,11.974973787761913,600
profile_0688,26.950000000000003,64.0,11.899944468475903,600
profile_0368,17.0,63.049999999999955,13.91307140521259,600
profile_0393,18.0,62.049999999999955,13.624974511521906,600
profile_0475,26.0,62.0,10.602544685683183,600
profile_0005,18.0,62.0,13.822023891709705,600
profile_0726,27.0,61.0,10.0594657897681,600
profile_0144,20.0,61.0,11.804399050797674,600
profile_0486,23.0,60.0,10.982279955026332,600
profile_0749,27.950000000000006,60.0,10.071826632165731,600
profile_0143,31.0,60.0,9.06271216626512,600
profile_0111,15.0,60.0,13.652662348576165,600
profile_0711,22.0,59.0,11.696575582457848,600
profile_0186,21.950000000000003,56.99999999999999,10.71213043483775,600
profile_0295,15.0,55.04999999999996,12.164218466760095,600
profile_0019,20.0,53.0,10.130896093056267,600
profile_0167,23.0,53.0,9.24407133020564,600
profile_0416,21.0,51.0,9.335417775425812,600
profile_0649,18.0,51.0,10.045458723082326,600
profile_0509,27.0,48.0,6.801642244981319,600
profile_0458,16.0,46.0,9.384736420647657,600
profile_0585,15.0,44.0,8.760842554826034,600
profile_0645,7.000000000000001,44.0,11.376517492203726,600
profile_0560,10.0,43.0,9.844132935684367,600
profile_0669,9.0,42.049999999999955,10.197868638274114,600
profile_0718,20.0,42.0,6.7087346199066396,600
profile_0395,16.0,42.0,8.280966906732948,600
profile_0269,13.950000000000005,40.0,7.9849188330359695,600
profile_0596,9.0,35.0,8.225258680196577,600
profile_0519,5.0,34.0,9.292727723141878,600
profile_0472,9.0,34.0,7.556840628819108,600
profile_0633,7.000000000000001,33.049999999999955,8.225380458984697,600
profile_0745,6.0,33.0,8.579381367037396,600
profile_0533,13.0,31.0,5.734337503137455,600
profile_0308,6.0,31.0,7.7946943058140965,600
profile_0096,12.0,28.999999999999996,5.058010721033532,600
profile_0790,6.0,24.049999999999955,5.73124290551972,600
profile_0716,5.0,23.0,5.827427091852066,600
profile_0131,5.0,22.0,5.127663199074073,600
profile_0760,3.0,22.0,6.040733324563956,600
profile_0618,3.950000000000003,21.0,5.681271891580764,600
profile_0353,5.0,20.0,4.57107811653531,600
profile_0590,4.0,19.0,4.7665594549196975,600
profile_0466,2.0,15.0,4.347297819398956,600
profile_0233,2.0,8.0,2.162564070994773,600
profile_0579,2.0,7.000000000000001,1.5464960304429651,600
profile_0065,1.0,6.0,1.7478430940327048,600
profile_0795,1.0,5.0,1.5027622498324291,600
