profile_id,mean_rank,rank_low_95,rank_high_95,rank_sd,top_decile_share
profile_0795,3.0,1.0,5.0,1.5027622498324291,
profile_0065,3.5,1.0,6.0,1.7478430940327048,
profile_0579,4.5,2.0,7.000000000000001,1.5464960304429651,
profile_0233,5.0,2.0,8.0,2.162564070994773,
profile_0466,8.5,2.0,15.0,4.347297819398956,
profile_0590,11.5,4.0,19.0,4.7665594549196975,
profile_0618,12.475000000000001,3.950000000000003,21.0,5.681271891580764,
profile_0353,12.5,5.0,20.0,4.57107811653531,
profile_0760,12.5,3.0,22.0,6.040733324563956,
profile_0131,13.5,5.0,22.0,5.127663199074073,
profile_0716,14.0,5.0,23.0,5.827427091852066,
profile_0790,15.024999999999977,6.0,24.049999999999955,5.73124290551972,
profile_0308,18.5,6.0,31.0,7.7946943058140965,
profile_0745,19.5,6.0,33.0,8.579381367037396,
profile_0519,19.5,5.0,34.0,9.292727723141878,
profile_0633,20.024999999999977,7.000000000000001,33.049999999999955,8.225380458984697,
profile_0096,20.5,12.0,28.999999999999996,5.058010721033532,
profile_0472,21.5,9.0,34.0,7.556840628819108,
profile_0596,22.0,9.0,35.0,8.225258680196577,
profile_0533,22.0,13.0,31.0,5.734337503137455,
profile_0645,25.5,7.000000000000001,44.0,11.376517492203726,
profile_0669,25.524999999999977,9.0,42.049999999999955,10.197868638274114,
profile_0560,26.5,10.0,43.0,9.844132935684367,
profile_0269,26.975,13.950000000000005,40.0,7.9849188330359695,
profile_0395,29.0,16.0,42.0,8.280966906732948,
profile_0585,29.5,15.0,44.0,8.760842554826034,
profile_0718,31.0,20.0,42.0,6.7087346199066396,
profile_0458,31.0,16.0,46.0,9.384736420647657,
profile_0649,34.5,18.0,51.0,10.045458723082326,
profile_0295,35.02499999999998,15.0,55.04999999999996,12.164218466760095,
profile_0416,36.0,21.0,51.0,9.335417775425812,
profile_0019,36.5,20.0,53.0,10.130896093056267,
profile_0509,37.5,27.0,48.0,6.801642244981319,
profile_0111,37.5,15.0,60.0,13.652662348576165,
profile_0167,38.0,23.0,53.0,9.24407133020564,
profile_0186,39.474999999999994,21.950000000000003,56.99999999999999,10.71213043483775,
profile_0005,40.0,18.0,62.0,13.822023891709705,
profile_0393,40.02499999999998,18.0,62.049999999999955,13.624974511521906,
profile_0368,40.02499999999998,17.0,63.049999999999955,13.91307140521259,
profile_0711,40.5,22.0,59.0,11.696575582457848,
profile_0144,40.5,20.0,61.0,11.804399050797674,
profile_0486,41.5,23.0,60.0,10.982279955026332,
profile_0749,43.975,27.950000000000006,60.0,10.071826632165731,
profile_0726,44.0,27.0,61.0,10.0594657897681,
profile_0475,44.0,26.0,62.0,10.602544685683183,
profile_0248,45.02499999999998,26.0,64.04999999999995,11.974973787761913,
profile_0688,45.475,26.950000000000003,64.0,11.899944468475903,
profile_0143,45.5,31.0,60.0,9.06271216626512,
profile_0293,46.5,25.0,68.0,12.422228178613363,
profile_0613,47.0,28.000000000000004,66.0,11.668214103592666,
profile_0717,49.5,32.0,67.0,10.585831712959157,
profile_0673,49.5,31.0,68.0,11.265856814811821,
profile_0521,51.0,34.0,68.0,9.939816672421973,
profile_0280,51.5,32.0,71.0,11.765104902968439,
profile_0694,53.475,41.95,65.0,7.192300766597246,
profile_0663,54.52499999999998,41.0,68.04999999999995,8.392034375355644,
profile_0608,55.0,37.0,73.0,10.710569257655655,
profile_0503,55.49999999999998,35.95,75.04999999999995,11.897499070822983,
profile_0433,55.52499999999998,37.0,74.04999999999995,11.263668997609159,
profile_0063,56.975,39.95,74.0,10.2995485905264,
profile_0542,57.5,39.0,76.0,11.24207641572031,
profile_0778,59.5,50.0,69.0,5.533864983745033,
profile_0785,62.0,41.0,83.0,12.416317104504927,
profile_0176,62.975,42.95,83.0,12.177309971016465,
profile_0204,63.95,43.900000000000006,84.0,12.477758844291463,
profile_0325,64.0,44.0,84.0,11.560134806745944,
profile_0391,69.0,59.0,79.0,6.087956446089482,
profile_0372,70.0,51.0,89.0,11.898481265580871,
profile_0360,70.5,51.0,90.0,12.08828576575649,
profile_0355,70.5,56.00000000000001,85.0,8.503087756292274,
profile_0364,71.0,54.0,88.0,10.579530929111284,
profile_0345,71.5,53.0,90.0,11.607722828832848,
profile_0287,73.0,56.99999999999999,89.0,9.703543346531664,
profile_0794,73.45,58.900000000000006,88.0,8.84790405873673,
profile_0217,73.5,56.99999999999999,90.0,9.871661717461532,
profile_0610,74.5,62.0,87.0,7.340058445648198,
profile_0297,74.975,60.95,89.0,8.792066382503384,
profile_0253,75.0,64.0,86.0,6.89188933198102,
profile_0445,76.0,59.0,93.0,11.133699039975145,
profile_0753,76.475,58.95,94.0,11.796799198982923,
profile_0307,77.0,62.0,92.0,9.210465606219978,
profile_0657,77.5,69.0,86.0,5.360645149256692,
profile_0172,78.02499999999998,65.0,91.04999999999995,8.21804260530815,
profile_0219,78.475,67.95,89.0,6.80393597830577,
profile_0066,78.5,66.0,91.0,7.785517818470721,
profile_0427,78.5,66.0,91.0,8.165932871079734,
profile_0754,80.475,70.95,90.0,5.979009610842271,
profile_0535,83.5,76.0,91.0,4.930731935313331,
profile_0001,84.0,73.0,95.0,7.629124225600098,
profile_0052,84.475,73.95,95.0,6.772459697228498,
profile_0272,85.0,73.0,97.0,7.383357294725028,
profile_0641,85.475,75.95,95.0,5.988748260845098,
profile_0165,89.0,81.0,97.0,5.137733174298155,
profile_0148,90.5,86.0,95.0,2.7203304121879537,
profile_0397,92.0,87.0,97.0,3.331405675230041,
profile_0424,93.475,89.95,97.0,2.6003076527025404,
profile_0747,94.0,91.0,97.0,1.9684482559746492,
profile_0775,98.5,97.0,100.0,0.9212509943259037,
profile_0390,98.5,97.0,100.0,0.9928949034873602,
profile_0076,99.0,98.0,100.0,0.9062925387709766,
