profile_id,mean_baseline_score,mean_post_score,mean_signed_delta_score,mean_abs_delta_score,mean_baseline_abs_score,mean_exposure_quality_score,mean_attack_realism_score,mean_attack_coherence_score,mean_post_plausibility_score,mean_post_consistency_score,mean_network_exposure_score,mean_network_exposure_delta_score,mean_network_exposure_abs_delta_score,mean_network_exposure_confidence,mean_network_exposure_peer_mean,mean_network_exposure_peer_exposure_weighted_mean,mean_post_attack_network_score,mean_post_attack_network_delta_from_baseline,mean_post_attack_network_abs_delta_from_baseline,mean_post_attack_network_increment_from_private_post,mean_post_attack_network_abs_increment_from_private_post,mean_post_attack_network_adversarial_effectivity,mean_post_attack_network_increment_adversarial_effectivity,mean_post_attack_network_confidence,mean_post_attack_network_peer_post_mean,mean_post_attack_network_peer_delta_mean,mean_post_attack_network_peer_exposure_weighted_post_mean,mean_post_attack_network_peer_exposure_weighted_delta_mean,mean_network_exposure_full_incoming_peer_count,mean_network_exposure_scored_peer_count,mean_network_exposure_exemplar_count,mean_network_exposure_full_incoming_exposure_weight,mean_network_exposure_scored_exposure_weight,mean_network_exposure_peer_sd,mean_post_attack_network_full_incoming_peer_count,mean_post_attack_network_scored_same_condition_peer_count,mean_post_attack_network_exemplar_count,mean_post_attack_network_full_incoming_exposure_weight,mean_post_attack_network_scored_exposure_weight,mean_ae_private,mean_bn_increment,mean_pn_increment,mean_ae_total_network,mean_pn_increment_effectivity,mean_peer_private_attack_activation,n_attacked_opinion_leaves,mean_adversarial_effectivity,profile_cat__profile_cat_sex_Female,profile_cat__profile_cat_sex_Male,profile_cat__profile_cat_sex_Other,profile_cont_big_five_agreeableness_altruism_pct,profile_cont_big_five_agreeableness_compliance_pct,profile_cont_big_five_agreeableness_mean_pct,profile_cont_big_five_agreeableness_modesty_pct,profile_cont_big_five_agreeableness_straightforwardness_pct,profile_cont_big_five_agreeableness_tender_mindedness_pct,profile_cont_big_five_agreeableness_trust_pct,profile_cont_big_five_conscientiousness_achievement_striving_pct,profile_cont_big_five_conscientiousness_competence_pct,profile_cont_big_five_conscientiousness_deliberation_pct,profile_cont_big_five_conscientiousness_dutifulness_pct,profile_cont_big_five_conscientiousness_mean_pct,profile_cont_big_five_conscientiousness_order_pct,profile_cont_big_five_conscientiousness_self_discipline_pct,profile_cont_big_five_extraversion_activity_level_pct,profile_cont_big_five_extraversion_assertiveness_pct,profile_cont_big_five_extraversion_excitement_seeking_pct,profile_cont_big_five_extraversion_gregariousness_pct,profile_cont_big_five_extraversion_mean_pct,profile_cont_big_five_extraversion_positive_emotions_pct,profile_cont_big_five_extraversion_warmth_pct,profile_cont_big_five_neuroticism_anger_hostility_pct,profile_cont_big_five_neuroticism_anxiety_pct,profile_cont_big_five_neuroticism_depression_pct,profile_cont_big_five_neuroticism_impulsiveness_pct,profile_cont_big_five_neuroticism_mean_pct,profile_cont_big_five_neuroticism_self_consciousness_pct,profile_cont_big_five_neuroticism_stress_vulnerability_pct,profile_cont_big_five_openness_to_experience_actions_pct,profile_cont_big_five_openness_to_experience_aesthetics_pct,profile_cont_big_five_openness_to_experience_fantasy_pct,profile_cont_big_five_openness_to_experience_feelings_pct,profile_cont_big_five_openness_to_experience_ideas_pct,profile_cont_big_five_openness_to_experience_mean_pct,profile_cont_big_five_openness_to_experience_values_pct,profile_cont_chronological_age,profile_cont_heuristic_shift_sensitivity_proxy,profile_cont_resilience_index
profile_0001,-60.51428571428571,-70.51428571428572,-10.0,29.485714285714284,317.65714285714284,0.44,,,0.8948571428571429,0.9151428571428571,-69.0,-8.485714285714286,196.71428571428572,0.7142857142857143,-54.17958571428572,-46.712828571428574,-77.45714285714286,-16.942857142857143,46.42857142857143,-6.942857142857143,16.942857142857143,46.42857142857143,16.942857142857143,0.6577142857142857,-65.20871142857143,-4.24428,-71.05748285714286,-3.7850657142857145,35.0,35.0,8.0,22.8118,22.8118,219.42531428571428,24.457142857142856,24.457142857142856,7.714285714285714,9.122017142857143,9.122017142857143,29.485714285714284,-8.485714285714286,-6.942857142857143,46.42857142857143,16.942857142857143,28.404557142857144,35,29.485714285714284,0.0,0.0,1.0,90.171,78.219,74.394,59.072,66.129,73.251,79.521,58.534,62.216,42.963,31.43,51.093,60.258,51.154,3.382,16.357,0.0,0.842,3.752,1.929,0.0,86.587,84.249,73.813,79.248,77.648,70.2,71.791,91.69,91.818,100.0,76.023,100.0,91.551,89.777,42.0,0.5621,0.4379
profile_0005,131.2,128.65714285714284,-2.5428571428571427,29.0,322.9142857142857,0.44,,,0.9228571428571428,0.9348571428571428,121.71428571428571,-9.485714285714286,145.25714285714287,0.7,-143.42857142857142,-143.42857142857142,125.57142857142857,-5.628571428571429,43.97142857142857,-3.085714285714286,14.971428571428572,43.97142857142857,14.971428571428572,0.6488571428571429,-47.87549428571428,-7.597288571428572,-50.429359999999996,-8.164717142857143,1.0,1.0,1.0,0.2606,0.2606,0.0,26.942857142857143,26.942857142857143,7.571428571428571,12.476862857142857,12.476862857142857,29.0,-9.485714285714286,-3.085714285714286,43.97142857142857,14.971428571428572,31.48945428571428,35,29.0,0.0,0.0,1.0,59.956,59.491,53.715,45.006,55.469,56.032,46.337,48.81,46.391,68.902,56.026,54.749,42.75,65.613,79.908,89.098,87.216,85.417,89.131,100.0,93.145,0.685,1.246,0.0,2.14,3.665,7.157,10.761,65.006,60.442,66.251,79.428,75.401,70.091,74.019,71.0,0.2796,0.7204
profile_0019,-127.37142857142857,-134.37142857142857,-7.0,26.885714285714286,397.9428571428571,0.44,,,0.9177142857142856,0.9385714285714286,-149.42857142857142,-22.057142857142857,161.65714285714284,0.7242857142857142,-55.60000000000001,-60.25597142857142,-136.74285714285713,-9.371428571428572,40.97142857142857,-2.3714285714285714,14.085714285714285,40.97142857142857,14.085714285714285,0.6497142857142858,-49.69896571428572,-6.662777142857143,-40.48294,-7.039128571428571,15.0,15.0,8.0,2.8668,2.8668,215.61608571428573,26.571428571428573,26.571428571428573,7.857142857142857,11.212274285714285,11.212274285714285,26.885714285714286,-22.057142857142857,-2.3714285714285714,40.97142857142857,14.085714285714285,30.843677142857146,35,26.885714285714286,1.0,0.0,0.0,15.935,46.084,20.366,18.643,21.974,8.256,11.303,57.307,77.427,74.137,58.752,67.127,75.919,59.218,7.27,22.716,0.0,0.948,5.699,3.261,0.0,57.094,52.097,50.386,53.129,54.249,61.288,51.5,52.617,54.853,56.432,46.349,49.929,51.368,48.031,49.0,0.4734,0.5266
profile_0052,129.74285714285713,126.71428571428571,-3.0285714285714285,31.085714285714285,338.6,0.44,,,0.8934285714285715,0.9177142857142856,72.85714285714286,-56.885714285714286,232.71428571428572,0.6757142857142857,-47.94872857142857,-36.4941,123.8,-5.942857142857143,47.31428571428572,-2.914285714285714,16.228571428571428,47.31428571428572,16.228571428571428,0.6548571428571429,-58.17621142857143,-6.146668571428571,-40.92577714285714,-5.981302857142857,39.0,39.0,8.0,8.9807,8.9807,218.14935714285716,24.314285714285713,24.314285714285713,7.428571428571429,8.579345714285713,8.579345714285713,31.085714285714285,-56.885714285714286,-2.914285714285714,47.31428571428572,16.228571428571428,29.818822857142855,35,31.085714285714285,0.0,1.0,0.0,81.486,72.411,73.941,73.421,80.566,61.703,74.06,9.547,36.224,7.292,12.767,16.302,17.154,14.828,93.105,93.289,96.296,89.622,93.565,100.0,89.079,42.555,55.874,44.514,67.528,48.879,45.569,37.237,75.869,65.234,62.86,59.384,68.708,66.066,64.34,45.0,0.5491,0.4509
profile_0063,-82.22857142857143,-84.02857142857142,-1.8,32.25714285714286,358.57142857142856,0.44,,,0.9119999999999999,0.9328571428571428,-91.85714285714286,-9.628571428571428,269.62857142857143,0.7185714285714285,-21.69047142857143,-20.586442857142856,-87.8,-5.571428571428571,45.05714285714286,-3.7714285714285714,14.685714285714285,45.05714285714286,12.8,0.6488571428571429,-81.80077714285714,-6.554785714285714,-80.32928571428572,-5.7708200000000005,30.0,30.0,8.0,9.0291,9.0291,211.94234285714285,26.0,26.0,7.514285714285714,9.78666857142857,9.78666857142857,32.25714285714286,-9.628571428571428,-3.7714285714285714,45.05714285714286,12.8,29.789277142857145,35,32.25714285714286,0.0,1.0,0.0,0.0,0.0,3.55,0.0,8.987,0.0,12.314,33.496,30.798,28.587,44.371,30.212,12.793,31.225,40.06,42.653,27.275,42.452,37.443,37.423,34.796,27.206,45.618,50.807,32.631,34.892,37.847,15.243,61.824,66.992,71.022,78.952,59.315,66.778,62.563,35.0,0.4618,0.5382
profile_0065,-23.742857142857144,-26.82857142857143,-3.085714285714286,25.428571428571427,383.4,0.44,,,0.9162857142857143,0.9405714285714286,-45.57142857142857,-21.82857142857143,148.0,0.7171428571428572,-54.36132857142858,-57.355500000000006,-30.942857142857143,-7.2,37.142857142857146,-4.114285714285714,11.714285714285714,37.142857142857146,11.714285714285714,0.6634285714285714,-72.64347714285714,-5.799317142857143,-83.58645714285714,-5.6706457142857145,34.0,34.0,8.0,23.7167,23.7167,214.97984285714287,28.685714285714287,28.685714285714287,7.6571428571428575,12.352688571428573,12.352688571428573,25.428571428571427,-21.82857142857143,-4.114285714285714,37.142857142857146,11.714285714285714,29.327325714285717,35,25.428571428571427,1.0,0.0,0.0,37.058,41.117,38.465,29.781,51.074,27.991,43.772,68.021,69.053,69.775,55.479,65.54,68.822,62.092,46.965,43.973,30.981,55.999,47.752,53.06,55.536,34.285,23.382,44.994,33.446,38.436,48.06,46.448,0.0,9.065,1.799,0.0,0.0,3.44,9.777,66.0,0.4616,0.5384
profile_0066,-89.28571428571429,-93.05714285714286,-3.7714285714285714,32.4,248.77142857142857,0.44,,,0.9048571428571428,0.9262857142857144,-82.57142857142857,6.714285714285714,147.28571428571428,0.6942857142857143,-46.54578571428572,-42.627671428571425,-96.77142857142857,-7.485714285714286,50.97142857142857,-3.7142857142857144,18.571428571428573,50.97142857142857,18.571428571428573,0.6525714285714286,-79.86088,-6.701034285714286,-81.54032857142857,-6.787745714285714,39.0,39.0,8.0,24.5319,24.5319,224.57627142857143,25.685714285714287,25.685714285714287,7.514285714285714,10.401885714285713,10.401882857142857,32.4,6.714285714285714,-3.7142857142857144,50.97142857142857,18.571428571428573,29.335917142857145,35,32.4,1.0,0.0,0.0,41.509,43.782,50.964,46.607,46.886,64.577,62.423,19.409,25.455,16.195,24.475,21.644,7.99,36.342,75.982,84.712,94.687,99.048,87.66,83.947,87.581,63.842,83.768,63.833,61.694,67.26,56.611,73.813,49.28,24.118,35.612,31.895,34.363,35.93,40.31,24.0,0.641,0.359
profile_0076,-211.54285714285714,-222.05714285714285,-10.514285714285714,35.42857142857143,392.51428571428573,0.44,,,0.9199999999999999,0.9391428571428571,-224.28571428571428,-12.742857142857142,147.6,0.7314285714285713,-40.131271428571424,-53.11965714285715,-228.34285714285716,-16.8,53.542857142857144,-6.285714285714286,18.114285714285714,53.542857142857144,18.114285714285714,0.6511428571428571,-65.93047714285714,-4.30234,-66.56144571428571,-4.362931428571429,37.0,37.0,8.0,19.7119,19.7118,225.01044285714286,23.057142857142857,23.057142857142857,7.6571428571428575,7.9435342857142865,7.943531428571428,35.42857142857143,-12.742857142857142,-6.285714285714286,53.542857142857144,18.114285714285714,28.363994285714284,35,35.42857142857143,0.0,0.0,1.0,12.818,28.767,23.517,37.063,19.443,23.173,19.839,27.181,8.474,14.127,16.418,16.647,31.371,2.312,44.285,58.982,38.024,41.566,43.664,42.888,36.238,79.351,86.62,64.848,98.065,82.225,74.925,89.538,95.156,73.43,84.124,87.299,84.2,86.008,91.841,32.0,0.6618,0.3382
profile_0096,2.6,2.6285714285714286,0.02857142857142857,25.514285714285716,237.62857142857143,0.44,,,0.9054285714285714,0.9285714285714286,-32.42857142857143,-35.02857142857143,124.74285714285715,0.6985714285714285,-36.076914285714295,-44.757928571428565,0.5714285714285714,-2.0285714285714285,37.857142857142854,-2.057142857142857,12.857142857142858,37.857142857142854,12.342857142857143,0.6437142857142858,-84.55408,-7.306405714285714,-102.26240571428572,-7.4344342857142856,26.0,26.0,8.0,5.6842,5.6842,223.58845714285715,21.742857142857144,21.742857142857144,7.714285714285714,6.885445714285714,6.885442857142857,25.514285714285716,-35.02857142857143,-2.057142857142857,37.857142857142854,12.342857142857143,29.282337142857145,35,25.514285714285716,0.0,0.0,1.0,59.076,57.202,62.839,73.183,65.506,65.291,56.775,46.706,54.999,66.308,55.134,58.908,58.354,71.943,26.95,21.228,28.872,37.19,26.132,24.737,17.812,7.693,27.005,14.848,9.065,18.395,18.644,33.117,50.642,50.849,52.636,38.03,35.135,46.164,49.692,26.0,0.3533,0.6467
profile_0111,-94.37142857142857,-99.37142857142857,-5.0,25.514285714285716,352.77142857142854,0.44,,,0.9102857142857143,0.9271428571428573,-96.85714285714286,-2.4857142857142858,191.57142857142858,0.72,-49.31577142857143,-63.39214285714286,-103.05714285714286,-8.685714285714285,37.25714285714286,-3.6857142857142855,11.742857142857142,37.25714285714286,11.742857142857142,0.6645714285714286,-62.95511714285714,-5.802011428571428,-60.21729142857143,-5.764617142857142,19.0,19.0,8.0,4.8371,4.8371,204.64014285714285,26.485714285714284,26.485714285714284,8.0,10.232934285714284,10.232934285714284,25.514285714285716,-2.4857142857142858,-3.6857142857142855,37.25714285714286,11.742857142857142,30.06729714285714,35,25.514285714285716,0.0,0.0,1.0,20.456,9.706,16.727,10.582,23.06,17.595,18.962,49.963,60.242,54.78,43.981,52.927,53.21,55.387,5.411,0.0,0.0,5.89,6.863,4.976,24.902,36.868,25.46,25.096,37.389,30.052,23.577,31.923,93.591,61.281,94.671,78.236,93.479,84.958,88.49,42.0,0.3743,0.6257
